experiment,objective,tire_set,simulation_id,final_gap,winner,A_wins,B_wins,tie,start_tire_A,start_tire_B,n_pits_A,n_pits_B,had_VSC,had_SC,mean_gap_race,std_gap_race
EXP_SM_win,win,"[1, 2]",78,0.8000000000000052,B,0,1,0,2,2,1,1,0,0,0.1619047619047665,0.4884145297126894
EXP_SM_win,win,"[1, 2]",79,-0.9999999999999964,A,1,0,0,2,1,2,2,0,1,-1.1047619047619013,1.8747637795266232
EXP_SM_win,win,"[1, 2]",80,4.440892098500626e-15,B,0,1,0,2,1,2,1,0,1,0.9809523809523861,1.0326198985470332
EXP_SM_win,win,"[1, 2]",81,-4.6,A,1,0,0,2,1,1,2,1,1,-0.45714285714285313,2.058332989066045
EXP_SM_win,win,"[1, 2]",82,-0.7999999999999963,A,1,0,0,1,2,1,3,0,0,-0.7619047619047582,1.8543324278118185
EXP_SM_win,win,"[1, 2]",83,0.4000000000000048,B,0,1,0,2,1,1,1,1,0,1.0761904761904817,1.096272803163938
EXP_SM_win,win,"[1, 2]",84,-1.1999999999999966,A,1,0,0,2,2,1,2,0,0,-0.36190476190475773,2.0522870379573632
EXP_SM_win,win,"[1, 2]",85,-0.9999999999999964,A,1,0,0,2,2,2,2,0,0,-1.2095238095238061,1.1879974193914429
EXP_SM_win,win,"[1, 2]",86,3.4000000000000075,B,0,1,0,2,2,1,1,1,0,-0.06666666666666228,2.4513035081133667
EXP_SM_win,win,"[1, 2]",87,-2.3999999999999977,A,1,0,0,1,1,2,2,1,0,-2.009523809523807,1.3655296414996132
EXP_SM_win,win,"[1, 2]",88,-0.5999999999999961,A,1,0,0,2,1,1,1,1,1,0.457142857142862,1.5518257844571752
EXP_SM_win,win,"[1, 2]",89,-0.7999999999999963,A,1,0,0,2,2,1,2,0,0,-0.45714285714285313,2.1814305984335878
EXP_SM_win,win,"[1, 2]",90,0.8000000000000052,B,0,1,0,1,2,2,1,0,1,-0.10476190476190042,1.0503859564923619
EXP_SM_win,win,"[1, 2]",91,5.000000000000009,B,0,1,0,2,1,1,2,1,0,1.2285714285714342,1.8447203574739772
EXP_SM_win,win,"[1, 2]",92,0.4000000000000048,B,0,1,0,1,1,1,1,0,0,0.03809523809524257,0.3683634210631188
EXP_SM_win,win,"[1, 2]",93,0.20000000000000462,B,0,1,0,2,1,1,1,0,1,0.9809523809523861,1.1193616580631804
EXP_SM_win,win,"[1, 2]",94,-0.7999999999999963,A,1,0,0,2,2,1,1,1,0,0.14285714285714743,1.3340134319918586
EXP_SM_win,win,"[1, 2]",95,4.440892098500626e-15,B,0,1,0,2,1,1,1,0,0,0.9619047619047673,1.0339366244169221
EXP_SM_win,win,"[1, 2]",96,-2.3999999999999977,A,1,0,0,2,1,1,1,0,0,-0.14285714285713855,0.9363411204670831
EXP_SM_win,win,"[1, 2]",97,-0.7999999999999963,A,1,0,0,2,1,1,3,1,1,-0.8952380952380917,0.8632586052285462
EXP_SM_win,win,"[1, 2]",98,-2.1999999999999975,A,1,0,0,2,1,2,1,1,0,-0.1619047619047576,1.7766946814041267
EXP_SM_win,win,"[1, 2]",99,-0.9999999999999964,A,1,0,0,2,2,2,2,0,0,-1.1333333333333298,1.214724477219241
EXP_SM_win,win,"[1, 2]",100,4.400000000000008,B,0,1,0,2,1,1,2,1,1,0.9904761904761957,1.504882454484091
EXP_SM_win,win,"[1, 2]",101,1.0000000000000053,B,0,1,0,1,1,2,3,1,1,0.6285714285714336,1.3568671399124352
EXP_SM_win,win,"[1, 2]",102,1.2000000000000055,B,0,1,0,1,2,1,2,1,0,-1.085714285714282,1.5238690464565199
EXP_SM_win,win,"[1, 2]",103,-1.3999999999999968,A,1,0,0,2,1,1,1,0,0,0.47619047619048116,0.9288522163989806
EXP_SM_win,win,"[1, 2]",104,-0.7999999999999963,A,1,0,0,2,2,1,1,0,1,-0.276190476190472,0.34627921833710207
EXP_SM_win,win,"[1, 2]",105,-1.3999999999999968,A,1,0,0,2,1,1,1,0,0,0.7333333333333384,1.0873004286866736
EXP_SM_win,win,"[1, 2]",106,-0.9999999999999964,A,1,0,0,2,1,2,3,1,1,-0.990476190476187,0.9980479814330732
EXP_SM_win,win,"[1, 2]",107,-0.5999999999999961,A,1,0,0,1,2,1,3,0,0,-0.6761904761904723,1.9385573334692474
EXP_SM_win,win,"[1, 2]",108,-0.19999999999999574,A,1,0,0,1,1,2,2,1,1,-1.1904761904761871,1.3890403545527275
EXP_SM_win,win,"[1, 2]",109,-1.7999999999999972,A,1,0,0,2,1,1,1,0,0,0.438095238095243,1.106894493391821
EXP_SM_win,win,"[1, 2]",110,-1.1999999999999966,A,1,0,0,1,1,2,2,1,0,-1.3047619047619015,1.3460616947851254
EXP_SM_win,win,"[1, 2]",111,-3.999999999999999,A,1,0,0,1,1,2,3,0,0,-1.276190476190473,1.7668656029695418
EXP_SM_win,win,"[1, 2]",112,4.440892098500626e-15,B,0,1,0,2,1,1,1,0,0,1.3809523809523865,1.0307736565637295
EXP_SM_win,win,"[1, 2]",113,-1.1999999999999966,A,1,0,0,2,1,1,1,0,0,0.8857142857142909,1.2337653223965657
EXP_SM_win,win,"[1, 2]",114,4.440892098500626e-15,B,0,1,0,2,1,1,1,1,1,1.0000000000000049,0.8417668492946427
EXP_SM_win,win,"[1, 2]",115,-0.19999999999999574,A,1,0,0,1,2,1,2,1,1,-0.7333333333333295,1.686171581771739
EXP_SM_win,win,"[1, 2]",116,-0.19999999999999574,A,1,0,0,2,2,2,2,0,1,-1.152380952380949,1.2109103413858873
EXP_SM_win,win,"[1, 2]",117,-1.7999999999999972,A,1,0,0,2,2,1,1,1,0,-1.6095238095238067,1.1338534220817267
EXP_SM_win,win,"[1, 2]",118,-0.19999999999999574,A,1,0,0,2,1,1,1,0,0,0.9428571428571482,1.1565842272960212
EXP_SM_win,win,"[1, 2]",119,-2.3999999999999977,A,1,0,0,2,1,1,1,1,0,0.06666666666667116,1.7977057689583238
EXP_SM_win,win,"[1, 2]",120,-0.19999999999999574,A,1,0,0,2,1,1,1,0,0,0.9428571428571482,1.1565842272960212
EXP_SM_win,win,"[1, 2]",121,-0.19999999999999574,A,1,0,0,2,1,1,1,0,0,1.3142857142857198,1.1136750463414091
EXP_SM_win,win,"[1, 2]",122,-5.0,A,1,0,0,1,1,2,3,0,0,-1.7428571428571398,1.6882144494141997
